datetime,local,station
2018-08-18 22:02:55.658804,79,77
2018-08-19 00:07:15.596645,79,77
2018-08-19 00:07:16.665131,79,77
2018-08-19 00:07:19.597343,79,77
2018-08-19 00:07:44.408516,79,77
2018-08-19 00:08:10.721921,79,76.6
2018-08-19 00:08:14.620828,79,76.6
2018-08-19 00:08:39.412492,79,76.6
2018-08-19 00:09:04.490853,79,76.6
2018-08-19 00:09:30.637374,79,76.6
2018-08-19 00:09:55.479358,79,76.6
2018-08-19 00:09:56.396728,79,76.6
2018-08-19 00:10:21.700788,79,76.6
2018-08-19 00:10:47.395551,79,76.6
2018-08-19 00:11:04.339754,79,76.6
2018-08-19 00:11:11.374057,79,76.6
2018-08-19 00:11:15.540669,79,76.6
2018-08-19 00:11:19.256029,79,76.6
2018-08-19 00:11:44.551004,79,76.6
2018-08-19 00:11:57.467911,79,76.6
2018-08-19 00:12:22.077104,79,76.6
2018-08-19 00:12:48.032312,79,76.6
2018-08-19 00:13:13.745023,79,76.6
2018-08-19 00:13:39.745325,79,76.6
2018-08-19 00:14:05.031095,79,76.6
2018-08-19 00:14:30.605592,79,76.6
2018-08-19 00:14:55.454044,79,76.6
